id	path	key	kind	title	line1	line2
life_spawn_shared	*	action:behavior_action:spawnRandom	action	Spawn Now	Adds random live cells for this layer's current behavior.	Behavior-specific Spawn Now rows describe the exact shape or entity.
life_spawn_shared_brain	*	action:behavior_action:seedRandom	action	Spawn Now	Seeds random active cells for Brian's Brain.	This shares the same Spawn Now intent across behaviors.
life_spawn_shared_ant	*	action:behavior_action:spawnAnt	action	Spawn Now	Adds an ant to the current grid.	This shares the same Spawn Now intent across behaviors.
life_spawn_shared_bounce	*	action:behavior_action:addBall	action	Spawn Now	Adds a ball to the simulation.	This shares the same Spawn Now intent across behaviors.
life_spawn_shared_pulse	*	action:behavior_action:spawnPulse	action	Spawn Now	Spawns a pulse shape.	This shares the same Spawn Now intent across behaviors.
life_spawn_shared_rain	*	action:behavior_action:dropNow	action	Spawn Now	Drops a new raindrop immediately.	This shares the same Spawn Now intent across behaviors.
life_spawn_shared_dla	*	action:behavior_action:seedCluster	action	Spawn Now	Seeds a new DLA cluster.	This shares the same Spawn Now intent across behaviors.
life_spawn_shared_glider	*	action:behavior_action:spawnGlider	action	Spawn Now	Spawns a glider pattern.	This shares the same Spawn Now intent across behaviors.
preset_save_current	System > Saves > Library > Save Current	action:preset_save_current	action	Save Current	Saves changes to the currently loaded preset file.	If no preset is loaded, this action is unavailable.
preset_refresh	System > Saves > Library > Refresh List	action:refresh_presets	action	Refresh List	Refreshes preset names from storage.	Use this if files changed outside the app.
preset_save	System > Saves > Library > Save As > Save	action:preset_save	action	Save As	Saves the current configuration to the name you entered.	If the name exists, confirmation is required.
preset_load_dynamic	System > Saves > Library > Load > *	action:preset_load:*	action	Load Preset	Loads the selected preset and replaces current runtime configuration.	Use Save Current or Save As first if you want to keep edits.
preset_delete_dynamic	System > Saves > Library > Delete > *	action:preset_delete:*	action	Delete Preset	Deletes the selected preset from storage.	This action asks for confirmation.
preset_rename_pick	System > Saves > Library > Rename > *	action:preset_rename_pick:*	action	Rename Preset	Chooses the preset that will be renamed.	Then enter a new name and apply.
midi_enabled	System > MIDI > Enabled	key:midi.enabled	bool	MIDI Enabled	Turns MIDI features on or off.	Disable if you want the engine to run without MIDI I/O.
midi_panic	System > MIDI > !Panic	action:midi_panic	action	Panic	Sends all-notes-off style panic to clear stuck notes.	Use this if external devices hang notes.
midi_out_disconnect	System > MIDI > MIDI Out > Disconnect	action:midi_select_output:null	action	MIDI Out Disconnect	Disconnects the current MIDI output target.	No MIDI output port will be selected.
midi_in_disconnect	System > MIDI > MIDI In > Disconnect	action:midi_select_input:null	action	MIDI In Disconnect	Disconnects the current MIDI input source.	No MIDI input port will be selected.
